uuid,model,isl,BS,arm,K,N,cs,exact
flash_512k_L22_bs1,flash,512k,1,base,512,131075,8,True
flash_512k_L22_bs1,flash,512k,1,opt,512,131075,8,True
flash_512k_L22_bs2,flash,512k,2,base,512,131075,8,True
flash_512k_L22_bs2,flash,512k,2,opt,512,131075,8,True
flash_512k_L22_bs4,flash,512k,4,base,512,131075,8,True
flash_512k_L22_bs4,flash,512k,4,opt,512,131075,8,True
flash_512k_L22_bs8,flash,512k,8,base,512,131075,4,True
flash_512k_L22_bs8,flash,512k,8,opt,512,131075,4,True
flash_512k_L22_bs16,flash,512k,16,base,512,131075,4,True
flash_512k_L22_bs16,flash,512k,16,opt,512,131075,4,True
flash_512k_L22_bs32,flash,512k,32,base,512,131075,4,True
flash_512k_L22_bs32,flash,512k,32,opt,512,131075,4,True
flash_512k_L22_bs64,flash,512k,64,base,512,131075,2,True
flash_512k_L22_bs64,flash,512k,64,opt,512,131075,2,True
flash_512k_L22_bs128,flash,512k,128,base,512,131075,1,True
flash_512k_L22_bs128,flash,512k,128,opt,512,131075,1,True
flash_512k_L22_bs256,flash,512k,256,base,512,131075,1,True
flash_512k_L22_bs256,flash,512k,256,opt,512,131075,1,True
flash_512k_L22_bs512,flash,512k,512,base,512,131075,1,True
flash_512k_L22_bs512,flash,512k,512,opt,512,131075,1,True
flash_512k_L22_bs1024,flash,512k,1024,base,512,131075,1,True
flash_512k_L22_bs1024,flash,512k,1024,opt,512,131075,1,True
