uuid,model,isl,BS,arm,K,N,cs,exact
v32_32k_L34_bs1,v32,32k,1,base,2048,32783,1,True
v32_32k_L34_bs1,v32,32k,1,opt,2048,32783,1,True
v32_32k_L34_bs2,v32,32k,2,base,2048,32783,1,True
v32_32k_L34_bs2,v32,32k,2,opt,2048,32783,1,True
v32_32k_L34_bs4,v32,32k,4,base,2048,32783,1,True
v32_32k_L34_bs4,v32,32k,4,opt,2048,32783,1,True
v32_32k_L34_bs8,v32,32k,8,base,2048,32783,1,True
v32_32k_L34_bs8,v32,32k,8,opt,2048,32783,1,True
v32_32k_L34_bs16,v32,32k,16,base,2048,32783,1,True
v32_32k_L34_bs16,v32,32k,16,opt,2048,32783,1,True
v32_32k_L34_bs32,v32,32k,32,base,2048,32783,1,True
v32_32k_L34_bs32,v32,32k,32,opt,2048,32783,1,True
v32_32k_L34_bs64,v32,32k,64,base,2048,32783,1,True
v32_32k_L34_bs64,v32,32k,64,opt,2048,32783,1,True
v32_32k_L34_bs128,v32,32k,128,base,2048,32783,1,True
v32_32k_L34_bs128,v32,32k,128,opt,2048,32783,1,True
v32_32k_L34_bs256,v32,32k,256,base,2048,32783,1,True
v32_32k_L34_bs256,v32,32k,256,opt,2048,32783,1,True
v32_32k_L34_bs512,v32,32k,512,base,2048,32783,1,True
v32_32k_L34_bs512,v32,32k,512,opt,2048,32783,1,True
v32_32k_L34_bs1024,v32,32k,1024,base,2048,32783,1,True
v32_32k_L34_bs1024,v32,32k,1024,opt,2048,32783,1,True
