uuid,model,isl,BS,arm,K,N,cs,exact
flash_32k_L22_bs1,flash,32k,1,base,512,8195,1,True
flash_32k_L22_bs1,flash,32k,1,opt,512,8195,1,True
flash_32k_L22_bs2,flash,32k,2,base,512,8195,1,True
flash_32k_L22_bs2,flash,32k,2,opt,512,8195,1,True
flash_32k_L22_bs4,flash,32k,4,base,512,8195,1,True
flash_32k_L22_bs4,flash,32k,4,opt,512,8195,1,True
flash_32k_L22_bs8,flash,32k,8,base,512,8195,1,True
flash_32k_L22_bs8,flash,32k,8,opt,512,8195,1,True
flash_32k_L22_bs16,flash,32k,16,base,512,8195,1,True
flash_32k_L22_bs16,flash,32k,16,opt,512,8195,1,True
flash_32k_L22_bs32,flash,32k,32,base,512,8195,1,True
flash_32k_L22_bs32,flash,32k,32,opt,512,8195,1,True
flash_32k_L22_bs64,flash,32k,64,base,512,8195,1,True
flash_32k_L22_bs64,flash,32k,64,opt,512,8195,1,True
flash_32k_L22_bs128,flash,32k,128,base,512,8195,1,True
flash_32k_L22_bs128,flash,32k,128,opt,512,8195,1,True
flash_32k_L22_bs256,flash,32k,256,base,512,8195,1,True
flash_32k_L22_bs256,flash,32k,256,opt,512,8195,1,True
flash_32k_L22_bs512,flash,32k,512,base,512,8195,1,True
flash_32k_L22_bs512,flash,32k,512,opt,512,8195,1,True
flash_32k_L22_bs1024,flash,32k,1024,base,512,8195,1,True
flash_32k_L22_bs1024,flash,32k,1024,opt,512,8195,1,True
