uuid,dt,arm,K,N,cs,exact
v32_128k_L24,fp32,base,2048,131087,8,True
v32_128k_L24,fp32,all,2048,131087,8,True
v32_128k_L25,fp32,base,2048,131087,8,True
v32_128k_L25,fp32,all,2048,131087,8,True
v32_128k_L26,fp32,base,2048,131087,8,True
v32_128k_L26,fp32,all,2048,131087,8,True
v32_128k_L27,fp32,base,2048,131087,8,True
v32_128k_L27,fp32,all,2048,131087,8,True
v32_128k_L28,fp32,base,2048,131087,8,True
v32_128k_L28,fp32,all,2048,131087,8,True
v32_128k_L29,fp32,base,2048,131087,8,True
v32_128k_L29,fp32,all,2048,131087,8,True
v32_128k_L30,fp32,base,2048,131087,8,True
v32_128k_L30,fp32,all,2048,131087,8,True
v32_128k_L31,fp32,base,2048,131087,8,True
v32_128k_L31,fp32,all,2048,131087,8,True
v32_128k_L32,fp32,base,2048,131087,8,True
v32_128k_L32,fp32,all,2048,131087,8,True
v32_128k_L33,fp32,base,2048,131087,8,True
v32_128k_L33,fp32,all,2048,131087,8,True
v32_128k_L34,fp32,base,2048,131087,8,True
v32_128k_L34,fp32,all,2048,131087,8,True
v32_128k_L35,fp32,base,2048,131087,8,True
v32_128k_L35,fp32,all,2048,131087,8,True
v32_128k_L36,fp32,base,2048,131087,8,True
v32_128k_L36,fp32,all,2048,131087,8,True
v32_128k_L37,fp32,base,2048,131087,8,True
v32_128k_L37,fp32,all,2048,131087,8,True
v32_128k_L38,fp32,base,2048,131087,8,True
v32_128k_L38,fp32,all,2048,131087,8,True
v32_128k_L39,fp32,base,2048,131087,8,True
v32_128k_L39,fp32,all,2048,131087,8,True
v32_128k_L40,fp32,base,2048,131087,8,True
v32_128k_L40,fp32,all,2048,131087,8,True
v32_128k_L41,fp32,base,2048,131087,8,True
v32_128k_L41,fp32,all,2048,131087,8,True
v32_128k_L42,fp32,base,2048,131087,8,True
v32_128k_L42,fp32,all,2048,131087,8,True
v32_128k_L43,fp32,base,2048,131087,8,True
v32_128k_L43,fp32,all,2048,131087,8,True
v32_128k_L44,fp32,base,2048,131087,8,True
v32_128k_L44,fp32,all,2048,131087,8,True
v32_128k_L45,fp32,base,2048,131087,8,True
v32_128k_L45,fp32,all,2048,131087,8,True
v32_128k_L46,fp32,base,2048,131087,8,True
v32_128k_L46,fp32,all,2048,131087,8,True
v32_128k_L47,fp32,base,2048,131087,8,True
v32_128k_L47,fp32,all,2048,131087,8,True
v32_128k_L48,fp32,base,2048,131087,8,True
v32_128k_L48,fp32,all,2048,131087,8,True
v32_128k_L49,fp32,base,2048,131087,8,True
v32_128k_L49,fp32,all,2048,131087,8,True
v32_128k_L50,fp32,base,2048,131087,8,True
v32_128k_L50,fp32,all,2048,131087,8,True
v32_128k_L51,fp32,base,2048,131087,8,True
v32_128k_L51,fp32,all,2048,131087,8,True
v32_128k_L52,fp32,base,2048,131087,8,True
v32_128k_L52,fp32,all,2048,131087,8,True
v32_128k_L53,fp32,base,2048,131087,8,True
v32_128k_L53,fp32,all,2048,131087,8,True
v32_128k_L54,fp32,base,2048,131087,8,True
v32_128k_L54,fp32,all,2048,131087,8,True
v32_128k_L55,fp32,base,2048,131087,8,True
v32_128k_L55,fp32,all,2048,131087,8,True
v32_128k_L56,fp32,base,2048,131087,8,True
v32_128k_L56,fp32,all,2048,131087,8,True
v32_128k_L57,fp32,base,2048,131087,8,True
v32_128k_L57,fp32,all,2048,131087,8,True
v32_128k_L58,fp32,base,2048,131087,8,True
v32_128k_L58,fp32,all,2048,131087,8,True
v32_128k_L59,fp32,base,2048,131087,8,True
v32_128k_L59,fp32,all,2048,131087,8,True
v32_128k_L60,fp32,base,2048,131087,8,True
v32_128k_L60,fp32,all,2048,131087,8,True
