uuid,model,isl,BS,arm,K,N,cs,exact
pro_64k_L30_bs1,pro,64k,1,base,1024,16387,1,True
pro_64k_L30_bs1,pro,64k,1,opt,1024,16387,1,True
pro_64k_L30_bs2,pro,64k,2,base,1024,16387,1,True
pro_64k_L30_bs2,pro,64k,2,opt,1024,16387,1,True
pro_64k_L30_bs4,pro,64k,4,base,1024,16387,1,True
pro_64k_L30_bs4,pro,64k,4,opt,1024,16387,1,True
pro_64k_L30_bs8,pro,64k,8,base,1024,16387,1,True
pro_64k_L30_bs8,pro,64k,8,opt,1024,16387,1,True
pro_64k_L30_bs16,pro,64k,16,base,1024,16387,1,True
pro_64k_L30_bs16,pro,64k,16,opt,1024,16387,1,True
pro_64k_L30_bs32,pro,64k,32,base,1024,16387,1,True
pro_64k_L30_bs32,pro,64k,32,opt,1024,16387,1,True
pro_64k_L30_bs64,pro,64k,64,base,1024,16387,1,True
pro_64k_L30_bs64,pro,64k,64,opt,1024,16387,1,True
pro_64k_L30_bs128,pro,64k,128,base,1024,16387,1,True
pro_64k_L30_bs128,pro,64k,128,opt,1024,16387,1,True
pro_64k_L30_bs256,pro,64k,256,base,1024,16387,1,True
pro_64k_L30_bs256,pro,64k,256,opt,1024,16387,1,True
pro_64k_L30_bs512,pro,64k,512,base,1024,16387,1,True
pro_64k_L30_bs512,pro,64k,512,opt,1024,16387,1,True
pro_64k_L30_bs1024,pro,64k,1024,base,1024,16387,1,True
pro_64k_L30_bs1024,pro,64k,1024,opt,1024,16387,1,True
