uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.89265,13.1198,1.516231192548667,17.0172,12.00285,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,19.10695,12.9359,1.4770483692669238,16.172549999999998,11.81915,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.914900000000003,13.155149999999999,1.4378323318244188,16.561400000000003,12.0127,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.939049999999998,13.287799999999999,1.5005531389695812,16.8382,12.1614,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,19.25915,13.3167,1.446240434942591,16.25255,12.2239,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,19.3534,13.18535,1.4677956974976016,16.918200000000002,12.076649999999999,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,19.20615,13.250950000000001,1.4494168342647131,16.4845,12.22375,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.7679,14.3711,1.3755314485321235,17.0943,13.32475,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,19.08925,13.19335,1.4468842257652528,16.6527,12.108600000000001,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.906950000000002,12.9598,1.5360537971264991,17.69715,12.04475,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.69415,13.23985,1.411960860583768,16.1151,12.37755,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.7389,13.0654,1.5873145866180907,18.2254,12.1503,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.52945,12.9535,1.5076581618867488,16.88125,12.0477,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,19.121599999999997,12.96945,1.4743570467521752,16.46075,12.071950000000001,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.998099999999997,12.9375,1.5457468599033815,17.22375,12.0239,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.61245,13.158299999999999,1.7184932704072715,19.906950000000002,12.16295,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.66225,12.97425,1.5154825905158296,17.2655,12.04625,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,19.083099999999998,13.044649999999999,1.4629062489219717,16.4286,12.1407,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.74375,13.2958,1.4849614163871296,16.86055,12.22225,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,19.0992,13.0175,1.4671941617053965,16.2735,11.9679,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,19.194950000000002,13.115,1.4635874952344645,16.60775,11.98395,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.1919,10.56785,1.1536783735575353,10.364600000000001,9.5935,True
flash_128k_L04,flash,128k,4,32771,512,0.805,12.1326,10.345450000000001,1.1727474396957116,10.2527,9.44945,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.7567,10.723,1.1896577450340389,10.948649999999999,9.871799999999999,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.780700000000001,10.148700000000002,1.1608087735374975,9.99025,9.43665,True
flash_128k_L10,flash,128k,10,32771,512,0.523,13.01105,10.233600000000001,1.2714049796747966,11.2207,9.5135,True
flash_128k_L12,flash,128k,12,32771,512,0.49,13.23185,11.0223,1.2004617910962323,11.3262,9.856,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.0734,10.30545,1.1715548568961083,10.41745,9.5151,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.57745,10.23035,1.2294251907315,10.8448,9.5023,True
flash_128k_L18,flash,128k,18,32771,512,0.637,13.036700000000002,11.15355,1.1688386208875203,11.1182,10.0815,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.73745,10.399899999999999,1.1286118135751306,10.18385,9.64625,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.963049999999999,10.27035,1.164814246836768,10.33265,9.60635,True
flash_128k_L24,flash,128k,24,32771,512,0.609,13.2847,10.943850000000001,1.2138963892962713,11.25585,9.8832,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.8527,10.2975,1.1510269482884197,10.11025,9.507100000000001,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.009549999999999,10.367899999999999,1.3512427781903762,12.268600000000001,9.5775,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.61265,11.04475,1.1419588492270083,10.6112,9.9599,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.82385,10.3535,1.2386004732699087,11.28305,9.655850000000001,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.9584,10.2975,1.1612915756251516,10.34555,9.561549999999999,True
flash_128k_L36,flash,128k,36,32771,512,0.898,14.36615,10.9199,1.3155935493914779,12.2591,9.8846,True
flash_128k_L38,flash,128k,38,32771,512,0.727,11.98385,10.412600000000001,1.1508989109348289,10.19665,9.63025,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.2624,10.364700000000001,1.183092612424865,10.5839,9.57435,True
flash_128k_L42,flash,128k,42,32771,512,0.863,16.0366,11.0127,1.4561914880092983,14.03175,9.91015,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.7775,8.3758,1.047959597889157,7.1629499999999995,7.85745,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.86075,8.511899999999999,1.0409837991517759,7.3007,7.97595,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.79495,8.9615,1.0930034034480836,7.83825,8.2591,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.11185,8.5535,1.0652773718360906,7.2751,7.84945,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.23825,8.6639,1.0662923163933102,7.414350000000001,7.97275,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.1694,8.9486,1.024674250720783,7.79035,8.375950000000001,True
flash_16k_L14,flash,16k,14,4099,512,0.492,8.790299999999998,8.6319,1.0183505369617347,7.6496,8.124649999999999,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.99675,8.523,1.0555848879502523,7.5391,8.03355,True
flash_16k_L18,flash,16k,18,4099,512,0.439,10.4367,9.09915,1.1469972469955985,8.748700000000001,8.39825,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.7215,8.443100000000001,1.0329736708081154,7.1998500000000005,7.95035,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.7166,8.5022,1.0252170026581355,7.374350000000001,8.043149999999999,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.69425,9.08625,1.0669142935754574,8.3295,8.40785,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.900649999999999,8.6303,1.031325678134016,7.39505,8.07185,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.8575,8.47835,1.0447197862791697,7.53755,7.8911999999999995,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.8559,9.16465,1.0754256845596941,8.1615,8.527899999999999,True
flash_16k_L32,flash,16k,32,4099,512,0.303,8.828700000000001,8.3375,1.0589145427286357,7.32155,7.79985,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.862350000000001,8.47985,1.0451069299574876,7.4111,7.96315,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.735899999999999,9.10225,1.1794776016918893,9.16145,8.351899999999999,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.09425,8.4559,1.0754916685391267,7.5984,7.97585,True
flash_16k_L40,flash,16k,40,4099,512,0.605,9.01595,8.57915,1.0509141348501891,7.4208,8.075149999999999,True
flash_16k_L42,flash,16k,42,4099,512,0.824,9.36795,8.974200000000002,1.0438757772280536,7.6895,8.24155,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.7358,11.428700000000001,1.2018689789739865,12.249450000000001,10.5214,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.211,11.45755,1.327596213850256,13.67825,10.540799999999999,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.811,11.5151,1.1993816814443643,12.22065,10.77275,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.4206,11.66695,1.3217336150407777,13.689350000000001,10.64775,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.563049999999999,11.5487,1.261012061963684,12.8255,10.46875,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.91985,11.6431,1.453208337985588,15.5566,11.067,True
flash_256k_L14,flash,256k,14,65538,512,0.182,14.84295,11.185450000000001,1.3269872915260448,13.4687,10.49115,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.671899999999999,11.33435,1.2062359111903196,12.33275,10.63345,True
flash_256k_L18,flash,256k,18,65538,512,0.312,13.72945,12.19675,1.1256646237727264,11.926,11.2335,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.5838,11.2447,1.2080179995909184,12.06385,10.460700000000001,True
flash_256k_L22,flash,256k,22,65538,512,0.279,13.8479,11.3727,1.217644007139905,12.25595,10.5726,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.6654,13.05115,1.5067944204150594,18.260650000000002,12.21425,True
flash_256k_L26,flash,256k,26,65538,512,0.486,14.66845,11.124600000000001,1.3185597684411123,13.33265,10.428600000000001,True
flash_256k_L28,flash,256k,28,65538,512,0.484,15.671850000000001,11.1567,1.4047030035763264,14.3215,10.41265,True
flash_256k_L30,flash,256k,30,65538,512,0.471,15.0509,11.898950000000001,1.264893120821585,13.3101,10.966299999999999,True
flash_256k_L32,flash,256k,32,65538,512,0.402,16.9309,11.19185,1.5127883236462247,15.4047,10.3598,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.39825,11.052700000000002,1.2122151148588127,11.868649999999999,10.2415,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.40625,11.76155,1.1398370112782754,11.899,10.90395,True
flash_256k_L38,flash,256k,38,65538,512,0.453,14.6415,11.1855,1.3089714362344107,13.366200000000001,10.4399,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.5903,12.24635,1.1097429029874206,12.2414,11.57275,True
flash_256k_L42,flash,256k,42,65538,512,0.617,14.009450000000001,11.9788,1.169520319230641,12.26235,11.02225,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.1951,9.767850000000001,0.9413637596809942,7.4478,8.7614,True
flash_32k_L04,flash,32k,4,8195,512,0.775,9.366299999999999,9.98235,0.9382860749222376,7.7104,8.94875,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.884649999999999,10.08305,1.0794997545385572,9.623850000000001,9.31975,True
flash_32k_L08,flash,32k,8,8195,512,0.76,9.03665,9.52935,0.9482965784654777,7.56155,8.833450000000001,True
flash_32k_L10,flash,32k,10,8195,512,0.723,9.184,9.6448,0.9522229595222295,7.69595,8.93915,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.82525,10.39515,0.9451763562815353,8.3567,9.3887,True
flash_32k_L14,flash,32k,14,8195,512,0.688,8.77585,9.4351,0.9301279265720555,7.59035,8.93585,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.39995,9.5503,0.9842570390458939,8.07185,9.030299999999999,True
flash_32k_L18,flash,32k,18,8195,512,0.713,9.7215,10.366200000000001,0.9378074897262256,8.08475,9.3744,True
flash_32k_L20,flash,32k,20,8195,512,0.795,8.9327,9.68315,0.9224993932759485,7.476649999999999,8.9679,True
flash_32k_L22,flash,32k,22,8195,512,0.686,9.32635,9.66865,0.9645969189080171,7.84305,8.95035,True
flash_32k_L24,flash,32k,24,8195,512,0.719,9.4991,9.9471,0.9549617476450423,8.092649999999999,9.232,True
flash_32k_L26,flash,32k,26,8195,512,0.713,9.1647,9.415799999999999,0.9733320588797554,7.5952,8.8799,True
flash_32k_L28,flash,32k,28,8195,512,0.869,10.8191,9.441450000000001,1.145915087195293,9.5456,8.929549999999999,True
flash_32k_L30,flash,32k,30,8195,512,0.824,9.46055,10.3167,0.917013192202933,8.0255,9.350200000000001,True
flash_32k_L32,flash,32k,32,8195,512,0.615,9.1295,9.65425,0.9456457000802756,7.71975,8.89265,True
flash_32k_L34,flash,32k,34,8195,512,0.67,9.3231,9.7087,0.9602830451038759,7.7759,8.90235,True
flash_32k_L36,flash,32k,36,8195,512,0.908,11.14865,10.174299999999999,1.0957658020699215,9.42555,9.49595,True
flash_32k_L38,flash,32k,38,8195,512,0.762,8.96625,9.2975,0.9643721430492069,7.5088,8.79345,True
flash_32k_L40,flash,32k,40,8195,512,0.799,9.2175,9.63185,0.9569812652813322,7.6991000000000005,9.0879,True
flash_32k_L42,flash,32k,42,8195,512,0.873,11.108649999999999,10.408,1.0673184089162182,9.7375,9.4032,True
flash_4k_L02,flash,4k,2,1027,512,0.895,9.55665,4.99835,1.911960947112547,7.90865,4.6512,True
flash_4k_L04,flash,4k,4,1027,512,0.891,9.459100000000001,5.10235,1.8538712554019228,7.87675,4.7456000000000005,True
flash_4k_L06,flash,4k,6,1027,512,0.863,5.13755,5.568,0.9226921695402299,4.175949999999999,5.1248000000000005,True
flash_4k_L08,flash,4k,8,1027,512,0.744,7.93275,5.1616,1.5368780998140112,6.7613,4.72635,True
flash_4k_L10,flash,4k,10,1027,512,0.846,8.073550000000001,5.2063999999999995,1.5506972188076218,6.8735,4.7295,True
flash_4k_L12,flash,4k,12,1027,512,0.607,8.391950000000001,5.39355,1.555923278731077,7.3807,5.1376,True
flash_4k_L14,flash,4k,14,1027,512,0.711,8.1279,5.0653999999999995,1.604591937458049,6.873600000000001,4.6575500000000005,True
flash_4k_L16,flash,4k,16,1027,512,0.674,8.29115,5.128,1.6168389235569423,7.04795,4.6768,True
flash_4k_L18,flash,4k,18,1027,512,0.723,8.2062,5.5983,1.4658378436311024,7.2463500000000005,5.1647,True
flash_4k_L20,flash,4k,20,1027,512,0.646,7.9855,5.086399999999999,1.5699709027996227,6.811100000000001,4.672,True
flash_4k_L22,flash,4k,22,1027,512,0.639,8.00315,5.174300000000001,1.5467116324913512,6.84155,4.7295,True
flash_4k_L24,flash,4k,24,1027,512,0.553,8.3613,5.54555,1.5077494567716456,7.30715,5.1103000000000005,True
flash_4k_L26,flash,4k,26,1027,512,0.586,8.11665,5.1246,1.5838602037232175,6.7808,4.69435,True
flash_4k_L28,flash,4k,28,1027,512,0.746,8.171149999999999,5.2143500000000005,1.5670505432124806,6.819100000000001,4.79035,True
flash_4k_L30,flash,4k,30,1027,512,0.771,8.0863,5.6911499999999995,1.4208551874401483,7.25115,5.2543999999999995,True
flash_4k_L32,flash,4k,32,1027,512,0.633,7.8415,5.11665,1.5325457086179435,6.71825,4.66875,True
flash_4k_L34,flash,4k,34,1027,512,0.695,8.1087,5.198300000000001,1.5598753438624164,6.923100000000001,4.744,True
flash_4k_L36,flash,4k,36,1027,512,0.934,9.7277,5.49755,1.7694609416922082,8.6575,5.09115,True
flash_4k_L38,flash,4k,38,1027,512,0.742,8.1231,5.09585,1.5940618346301403,6.80155,4.63985,True
flash_4k_L40,flash,4k,40,1027,512,0.795,8.15995,5.16635,1.5794419657979037,6.8111999999999995,4.7024,True
flash_4k_L42,flash,4k,42,1027,512,0.932,9.2542,5.51995,1.6765006929410595,8.30875,5.1168000000000005,True
flash_512k_L02,flash,512k,2,131075,512,0.604,15.60295,11.715,1.3318779342723004,13.0239,10.612549999999999,True
flash_512k_L04,flash,512k,4,131075,512,0.805,14.9406,11.6911,1.2779464721027105,12.79355,10.64785,True
flash_512k_L06,flash,512k,6,131075,512,0.748,15.007850000000001,11.611,1.2925544742054949,13.092649999999999,10.57095,True
flash_512k_L08,flash,512k,8,131075,512,0.738,14.798,11.6815,1.2667893678037923,12.8735,10.844700000000001,True
flash_512k_L10,flash,512k,10,131075,512,0.455,14.7679,11.679950000000002,1.2643804125873823,12.80785,10.8431,True
flash_512k_L12,flash,512k,12,131075,512,0.715,15.169450000000001,11.4863,1.320655911825392,13.219100000000001,10.655850000000001,True
flash_512k_L14,flash,512k,14,131075,512,0.479,16.1453,11.54055,1.3990061132268392,13.7183,10.7582,True
flash_512k_L16,flash,512k,16,131075,512,0.318,15.88785,11.350299999999999,1.3997735742667596,13.50225,10.61915,True
flash_512k_L18,flash,512k,18,131075,512,0.148,21.50535,12.903799999999999,1.6665904617244534,19.57735,12.1599,True
flash_512k_L20,flash,512k,20,131075,512,0.332,15.751850000000001,11.4815,1.371933109785307,13.40785,10.599950000000002,True
flash_512k_L22,flash,512k,22,131075,512,0.057,21.470200000000002,12.1647,1.7649592673884273,19.143900000000002,11.26865,True
flash_512k_L24,flash,512k,24,131075,512,0.023,22.1197,13.2847,1.6650507726933992,19.9805,12.33745,True
flash_512k_L26,flash,512k,26,131075,512,0.301,16.02865,11.913450000000001,1.345424709047337,13.4734,10.79665,True
flash_512k_L28,flash,512k,28,131075,512,0.525,18.56155,11.90075,1.5596958174904942,16.05265,10.82235,True
flash_512k_L30,flash,512k,30,131075,512,0.119,21.41425,12.2319,1.7506887727989928,19.5422,11.1599,True
flash_512k_L32,flash,512k,32,131075,512,0.197,17.579150000000002,11.679799999999998,1.5050899844175418,15.27335,10.7551,True
flash_512k_L34,flash,512k,34,131075,512,0.283,15.70225,11.97115,1.3116743170037966,13.3088,11.088,True
flash_512k_L36,flash,512k,36,131075,512,0.584,16.21115,11.814350000000001,1.372157588017961,14.0495,10.84145,True
flash_512k_L38,flash,512k,38,131075,512,0.215,18.47825,11.61735,1.5905735817548752,15.983799999999999,10.6255,True
flash_512k_L40,flash,512k,40,131075,512,0.432,16.94225,11.982299999999999,1.4139397277651204,14.839799999999999,10.94075,True
flash_512k_L42,flash,512k,42,131075,512,0.611,15.60125,11.74865,1.3279185268094633,13.47505,10.71025,True
flash_64k_L02,flash,64k,2,16387,512,0.715,9.60945,9.9502,0.9657544571968403,8.340549999999999,9.2495,True
flash_64k_L04,flash,64k,4,16387,512,0.766,9.79675,9.7471,1.005093822778057,8.48955,9.0751,True
flash_64k_L06,flash,64k,6,16387,512,0.705,10.727799999999998,10.74855,0.998069507049788,9.0544,9.70545,True
flash_64k_L08,flash,64k,8,16387,512,0.617,10.19185,10.6607,0.9560207115855431,8.4848,9.588700000000001,True
flash_64k_L10,flash,64k,10,16387,512,0.582,10.7231,10.46235,1.0249226990112164,9.0191,9.380799999999999,True
flash_64k_L12,flash,64k,12,16387,512,0.254,10.60795,10.742299999999998,0.9874933673421895,9.3071,9.98535,True
flash_64k_L14,flash,64k,14,16387,512,0.311,9.8798,10.27985,0.9610840625106397,8.4605,9.419,True
flash_64k_L16,flash,64k,16,16387,512,0.227,10.54075,10.0975,1.0438970042089626,8.9952,9.27675,True
flash_64k_L18,flash,64k,18,16387,512,0.412,10.5455,10.80635,0.9758614148162886,9.0383,9.895950000000001,True
flash_64k_L20,flash,64k,20,16387,512,0.178,10.6863,10.43335,1.0242443702166608,9.23025,9.49585,True
flash_64k_L22,flash,64k,22,16387,512,0.076,12.30875,10.3824,1.1855399522268453,10.8559,9.3887,True
flash_64k_L24,flash,64k,24,16387,512,0.107,13.5039,10.521450000000002,1.2834637811328284,12.09435,9.6238,True
flash_64k_L26,flash,64k,26,16387,512,0.156,10.9614,10.1759,1.0771921893886536,9.635,9.291049999999998,True
flash_64k_L28,flash,64k,28,16387,512,0.41,11.2255,10.187149999999999,1.1019274281815818,9.8799,9.36465,True
flash_64k_L30,flash,64k,30,16387,512,0.256,10.84155,10.83025,1.001043373883336,9.23355,9.89415,True
flash_64k_L32,flash,64k,32,16387,512,0.148,11.1678,10.5807,1.0554878221667754,9.60305,9.6623,True
flash_64k_L34,flash,64k,34,16387,512,0.145,10.723049999999999,10.4672,1.0244430220116172,9.21435,9.511899999999999,True
flash_64k_L36,flash,64k,36,16387,512,0.779,10.281600000000001,10.607850000000001,0.9692444746107836,8.82715,9.7376,True
flash_64k_L38,flash,64k,38,16387,512,0.336,9.739049999999999,10.29265,0.9462140459454075,8.38215,9.396600000000001,True
flash_64k_L40,flash,64k,40,16387,512,0.406,10.80625,10.2367,1.0556380474176248,9.46715,9.41115,True
flash_64k_L42,flash,64k,42,16387,512,0.779,10.603,10.5967,1.000594524710523,8.9311,9.7056,True
flash_8k_L02,flash,8k,2,2051,512,0.84,8.24635,6.32475,1.3038222854658286,6.9342,5.6704,True
flash_8k_L04,flash,8k,4,2051,512,0.844,8.23675,6.414350000000001,1.284112965460257,6.9552,5.76635,True
flash_8k_L06,flash,8k,6,2051,512,0.75,8.64635,6.5248,1.3251517287886219,7.40475,6.13115,True
flash_8k_L08,flash,8k,8,2051,512,0.631,8.17905,6.182300000000001,1.3229785031460781,6.93265,5.7535,True
flash_8k_L10,flash,8k,10,2051,512,0.672,8.1983,6.26715,1.308138468043688,7.0208,5.8159,True
flash_8k_L12,flash,8k,12,2051,512,0.477,8.993549999999999,6.6895,1.344427834666268,7.6655,6.174300000000001,True
flash_8k_L14,flash,8k,14,2051,512,0.416,8.19345,6.07995,1.3476179902795253,6.71195,5.6288,True
flash_8k_L16,flash,8k,16,2051,512,0.498,8.728,6.28475,1.38875850272485,7.264,5.80475,True
flash_8k_L18,flash,8k,18,2051,512,0.586,8.8991,6.7023,1.3277680796144609,7.795100000000001,6.17275,True
flash_8k_L20,flash,8k,20,2051,512,0.488,8.4191,6.13105,1.373190562791039,7.383850000000001,5.79995,True
flash_8k_L22,flash,8k,22,2051,512,0.334,7.95515,6.09265,1.3056962077257022,6.98075,5.7776000000000005,True
flash_8k_L24,flash,8k,24,2051,512,0.48,9.2655,6.9807,1.3273024195281276,7.803,6.33755,True
flash_8k_L26,flash,8k,26,2051,512,0.439,8.02065,6.1118999999999994,1.31230059392333,6.67995,5.71345,True
flash_8k_L28,flash,8k,28,2051,512,0.639,8.49915,6.1872,1.3736666020170676,7.374350000000001,5.7439,True
flash_8k_L30,flash,8k,30,2051,512,0.492,9.062299999999999,6.6335,1.3661415542323057,7.779100000000001,6.11675,True
flash_8k_L32,flash,8k,32,2051,512,0.309,8.0639,5.983899999999999,1.3475993917010647,6.7663,5.63995,True
flash_8k_L34,flash,8k,34,2051,512,0.611,8.33435,6.1216,1.3614659566126504,7.08155,5.7999,True
flash_8k_L36,flash,8k,36,2051,512,0.865,9.09595,6.8655,1.3248780132546791,7.6831499999999995,6.152,True
flash_8k_L38,flash,8k,38,2051,512,0.51,8.38225,6.14225,1.364687207456551,7.1855,5.6766000000000005,True
flash_8k_L40,flash,8k,40,2051,512,0.529,8.60155,6.3088,1.3634209358356582,7.4,5.81115,True
flash_8k_L42,flash,8k,42,2051,512,0.848,8.619200000000001,6.6559,1.2949713787767245,7.2574,6.1951,True
pro_1024k_L02,pro,1024k,2,262127,1024,0.93,23.7084,13.110149999999999,1.8084003615519275,20.7084,12.3118,True
pro_1024k_L04,pro,1024k,4,262127,1024,0.886,28.95185,16.1438,1.7933726879668976,21.64135,12.804799999999998,True
pro_1024k_L06,pro,1024k,6,262127,1024,0.922,24.138849999999998,13.47985,1.790735801956253,21.2638,12.59345,True
pro_1024k_L08,pro,1024k,8,262127,1024,0.871,25.1309,13.67175,1.8381626346298023,21.8141,12.611,True
pro_1024k_L10,pro,1024k,10,262127,1024,0.887,31.4734,15.5551,2.023349255228189,23.82525,12.942350000000001,True
pro_1024k_L12,pro,1024k,12,262127,1024,0.856,19.1421,13.6204,1.4053992540600864,17.53425,12.559899999999999,True
pro_1024k_L14,pro,1024k,14,262127,1024,0.71,19.52435,13.70375,1.424745051536988,17.465349999999997,12.66865,True
pro_1024k_L16,pro,1024k,16,262127,1024,0.619,27.1405,17.8797,1.5179505248969503,19.6831,13.718350000000001,True
pro_1024k_L18,pro,1024k,18,262127,1024,0.749,19.734150000000003,13.4688,1.4651750712758378,18.0557,12.393450000000001,True
pro_1024k_L20,pro,1024k,20,262127,1024,0.76,19.2428,14.66695,1.3119837457685475,17.4575,13.8189,True
pro_1024k_L22,pro,1024k,22,262127,1024,0.575,25.5678,16.16625,1.5815541637671071,19.84,13.67515,True
pro_1024k_L24,pro,1024k,24,262127,1024,0.664,19.908549999999998,13.5952,1.464380810874426,18.07825,12.7151,True
pro_1024k_L26,pro,1024k,26,262127,1024,0.535,22.1917,13.5998,1.6317666436271123,20.4381,12.5646,True
pro_1024k_L28,pro,1024k,28,262127,1024,0.611,19.79985,13.79185,1.4356195869299622,17.9151,12.737549999999999,True
pro_1024k_L30,pro,1024k,30,262127,1024,0.267,20.1342,14.776,1.362628586897672,18.39825,13.71825,True
pro_1024k_L32,pro,1024k,32,262127,1024,0.394,19.178900000000002,13.50865,1.4197495678694765,17.3053,12.686200000000001,True
pro_1024k_L34,pro,1024k,34,262127,1024,0.673,19.7279,14.671850000000001,1.3446088939022687,17.7791,13.81115,True
pro_1024k_L36,pro,1024k,36,262127,1024,0.196,27.8878,13.6831,2.0381200166628908,26.23495,12.79345,True
pro_1024k_L38,pro,1024k,38,262127,1024,0.425,19.0959,15.1838,1.257649600231826,17.02215,14.1806,True
pro_1024k_L40,pro,1024k,40,262127,1024,0.122,28.971,17.1662,1.6876769465577706,27.03175,16.18385,True
pro_1024k_L42,pro,1024k,42,262127,1024,0.479,21.7325,14.709950000000001,1.4774013507863726,20.1965,13.7055,True
pro_1024k_L44,pro,1024k,44,262127,1024,0.176,21.8526,14.211,1.5377242980789527,19.9275,13.36945,True
pro_1024k_L46,pro,1024k,46,262127,1024,0.64,20.61915,14.59515,1.4127398485113205,18.79835,13.7839,True
pro_1024k_L48,pro,1024k,48,262127,1024,0.244,27.91015,17.19335,1.6233107567751488,26.300549999999998,16.40475,True
pro_1024k_L50,pro,1024k,50,262127,1024,0.351,19.135650000000002,14.5214,1.3177551751208563,17.210900000000002,13.68145,True
pro_1024k_L52,pro,1024k,52,262127,1024,0.292,20.04315,14.4223,1.3897332602982881,18.2238,13.623850000000001,True
pro_1024k_L54,pro,1024k,54,262127,1024,0.671,24.865299999999998,15.3135,1.6237502856956278,19.38205,12.8062,True
pro_1024k_L56,pro,1024k,56,262127,1024,0.624,19.98205,14.758149999999999,1.3539671300264602,18.1726,13.715,True
pro_1024k_L58,pro,1024k,58,262127,1024,0.679,19.527849999999997,13.7823,1.416878895394818,17.71195,12.687899999999999,True
pro_1024k_L60,pro,1024k,60,262127,1024,0.876,29.621950000000002,17.065549999999998,1.735774704008954,23.1678,13.6942,True
pro_128k_L02,pro,128k,2,32771,1024,0.939,14.092600000000001,11.1375,1.2653288439955108,12.28625,10.03185,True
pro_128k_L04,pro,128k,4,32771,1024,0.863,12.98545,11.3232,1.1468003744524515,11.09915,10.2303,True
pro_128k_L06,pro,128k,6,32771,1024,0.87,17.145349999999997,11.3758,1.5071775171856043,15.1294,10.58225,True
pro_128k_L08,pro,128k,8,32771,1024,0.928,15.04135,11.30385,1.3306395608575838,13.0286,10.21905,True
pro_128k_L10,pro,128k,10,32771,1024,0.899,16.2303,11.19985,1.4491533368750475,14.15985,10.126299999999999,True
pro_128k_L12,pro,128k,12,32771,1024,0.849,12.9311,11.15025,1.1597139077599157,11.4239,10.4063,True
pro_128k_L14,pro,128k,14,32771,1024,0.812,12.46225,10.799850000000001,1.153928063815701,10.76135,10.126299999999999,True
pro_128k_L16,pro,128k,16,32771,1024,0.665,13.19985,10.927850000000001,1.2079091495582386,11.417549999999999,10.119950000000001,True
pro_128k_L18,pro,128k,18,32771,1024,0.688,13.883049999999999,11.33425,1.2248759291527889,11.9615,10.459100000000001,True
pro_128k_L20,pro,128k,20,32771,1024,0.782,12.71185,11.366299999999999,1.1183806515752708,10.831850000000001,10.28615,True
pro_128k_L22,pro,128k,22,32771,1024,0.433,14.3071,12.259049999999998,1.1670643320648828,12.5006,11.1967,True
pro_128k_L24,pro,128k,24,32771,1024,0.683,13.668700000000001,11.3072,1.208849228809962,11.9166,10.446299999999999,True
pro_128k_L26,pro,128k,26,32771,1024,0.454,13.9758,11.995,1.1651354731137975,12.30065,11.2495,True
