scenario,K,N,BS,hit_rate,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,flashinfer_topk_i32_cold_us,flashinfer_topk_i32_warm_us,sglang_v2_cold_span_us,sglang_v2_warm_span_us,anchor_ratio,rr_op21_hls_cold_us_adj,rr_op25_hls_cold_us_adj,rr_op26_r0auto_cold_us_adj,rr_gvr_multicta_cutedsl_cold_us_adj,rr_radix_single_cuda_cold_us_adj,rr_radix_multi_cuda_cold_us_adj
best,512,4096,1,0.55078125,11.058,9.358,6.318,5.597,7.13,6.193,4.547,3.774,6.397,5.83,6.194,5.649,4.547,3.774,0.9866,10.515,11.363,10.558,10.92,14.408,35.073
best,512,4096,2,0.55078125,10.659,9.346,6.301,5.644,7.118,6.227,4.614,3.81,6.426,5.818,6.221,5.66,4.614,3.81,1.0084,10.381,11.427,10.218,10.537,14.395,34.519
best,512,4096,4,0.55078125,10.818,9.36,6.315,5.642,7.128,6.228,4.483,3.809,6.434,5.878,6.248,5.665,4.483,3.809,0.9927,10.565,11.497,10.522,10.779,14.684,34.905
best,512,4096,8,0.55078125,10.729,9.381,6.315,5.655,7.12,6.239,4.475,3.809,6.744,6.176,6.496,6.028,4.475,3.809,1.0135,10.177,11.257,10.636,10.901,14.593,34.502
best,512,4096,16,0.55078125,10.947,9.65,6.723,6.022,7.597,6.612,4.947,4.187,6.792,6.247,6.571,6.054,4.947,4.187,1.0012,10.614,11.592,10.876,11.227,14.558,34.096
best,512,4096,32,0.55078125,11.089,9.713,6.853,6.053,7.616,6.634,4.986,4.219,6.896,6.337,6.665,6.087,4.986,4.219,1.0008,10.89,11.624,10.946,11.218,14.916,34.24
best,512,4096,64,0.55078125,11.272,9.795,6.958,6.109,7.697,6.688,5.112,4.27,7.0,6.375,6.824,6.133,5.112,4.27,0.9958,10.965,11.823,10.923,11.278,14.894,34.105
best,512,4096,128,0.55078125,11.739,9.96,7.544,6.491,8.048,6.786,5.302,4.391,7.314,6.491,7.134,6.241,5.302,4.391,1.0,11.432,12.414,11.617,11.761,15.23,40.707
best,512,4096,256,0.55078125,14.683,12.582,13.227,11.58,10.674,9.118,6.939,5.968,10.12,9.126,9.717,8.785,6.939,5.968,1.001,12.421,13.355,14.042,14.013,22.633,74.743
best,512,4096,512,0.55078125,25.468,22.414,24.361,21.661,18.739,16.459,11.725,10.318,18.211,16.548,17.194,15.718,11.725,10.318,0.9974,23.094,24.362,24.036,25.677,39.965,133.983
best,512,4096,1024,0.55078125,38.979,35.676,40.975,36.896,30.793,27.643,18.736,17.141,30.126,28.22,28.281,26.318,18.736,17.141,1.002,34.608,36.967,37.207,45.104,65.06,242.221
best,512,4096,2048,0.55078125,70.463,65.866,79.935,72.488,57.174,51.685,34.012,32.041,56.422,53.523,52.751,49.672,34.012,32.041,0.9955,59.228,63.408,67.373,83.088,125.48,481.83
best,512,8192,1,0.55078125,11.099,9.467,8.065,7.29,8.51,7.395,5.542,4.593,11.11,10.361,10.802,10.064,5.542,4.593,0.9846,10.545,11.886,9.857,11.348,17.067,35.449
best,512,8192,2,0.55078125,11.275,9.465,8.073,7.331,8.549,7.434,5.515,4.609,11.27,10.452,10.931,10.187,5.515,4.609,0.9867,10.975,12.487,10.416,11.238,17.615,36.471
best,512,8192,4,0.55078125,11.168,9.474,8.074,7.318,8.451,7.434,5.461,4.614,11.646,10.892,11.288,10.646,5.461,4.614,0.9955,10.493,12.382,10.423,11.074,17.022,35.402
best,512,8192,8,0.55078125,11.152,9.503,8.122,7.348,8.504,7.451,5.459,4.62,11.741,10.965,11.376,10.669,5.459,4.62,0.9795,10.613,12.146,10.11,11.176,17.203,35.49
best,512,8192,16,0.55078125,11.302,9.751,8.275,7.686,8.838,7.778,5.726,4.975,14.081,13.396,13.635,12.854,5.726,4.975,1.0011,10.694,12.101,10.155,11.279,17.082,35.051
best,512,8192,32,0.55078125,11.289,9.807,8.357,7.715,8.869,7.83,5.794,5.008,14.808,14.177,14.119,13.6,5.794,5.008,1.0197,10.748,11.965,10.302,11.365,17.033,34.655
best,512,8192,64,0.55078125,11.517,9.902,8.67,7.776,9.077,7.892,5.926,5.045,14.238,13.225,13.693,12.731,5.926,5.045,1.013,10.869,12.249,10.633,11.601,17.406,35.84
best,512,8192,128,0.55078125,12.238,10.061,9.194,7.899,9.633,8.159,6.421,5.184,14.163,12.957,13.737,12.554,6.421,5.184,1.001,11.745,13.253,11.241,12.281,18.003,43.069
best,512,8192,256,0.55078125,15.774,13.101,16.267,14.416,13.369,11.356,8.643,7.407,13.053,11.481,12.385,10.709,8.643,7.407,0.9967,15.024,16.152,14.223,15.183,25.981,78.788
best,512,8192,512,0.55078125,27.336,23.56,29.937,27.33,23.083,20.567,14.552,12.911,23.102,20.92,21.693,19.411,14.552,12.911,1.0074,27.833,29.52,24.587,26.993,45.285,139.28
best,512,8192,1024,0.55078125,42.151,37.203,50.807,46.678,37.723,34.012,23.475,21.582,38.656,34.934,36.267,32.416,23.475,21.582,1.0009,41.383,44.249,39.243,47.575,74.089,256.555
best,512,8192,2048,0.55078125,74.774,69.014,98.943,91.619,70.607,64.527,43.095,40.604,73.889,66.818,68.889,61.444,43.095,40.604,1.0001,69.793,74.939,67.94,87.464,140.007,502.601
best,512,16384,1,0.55078125,12.982,11.261,12.251,11.43,11.333,10.154,7.242,6.174,11.91,10.742,11.506,10.54,7.242,6.174,0.9888,12.271,14.878,13.667,13.018,20.734,35.632
best,512,16384,2,0.55078125,12.856,11.217,12.296,11.452,11.237,10.222,7.235,6.204,11.875,10.8,11.582,10.584,7.235,6.204,0.9975,12.158,14.899,13.491,12.796,20.754,36.028
best,512,16384,4,0.55078125,12.971,11.216,12.293,11.46,11.232,10.216,7.208,6.205,12.299,11.253,11.925,11.003,7.208,6.205,0.9737,12.329,14.759,13.861,13.044,20.977,36.366
best,512,16384,8,0.55078125,13.046,11.239,12.393,11.487,11.309,10.273,7.25,6.239,12.382,11.277,12.019,11.048,7.25,6.239,0.9787,12.48,14.947,13.836,13.346,20.863,35.867
best,512,16384,16,0.55078125,13.178,11.468,12.574,11.838,11.581,10.562,7.529,6.57,14.664,13.771,14.366,13.432,7.529,6.57,0.9773,12.746,15.004,13.799,13.027,20.97,35.648
best,512,16384,32,0.55078125,13.329,11.545,12.648,11.868,11.699,10.626,7.602,6.623,15.645,14.606,15.102,14.155,7.602,6.623,0.991,12.733,15.117,13.866,13.291,21.143,35.599
best,512,16384,64,0.55078125,13.725,11.671,13.064,11.961,12.258,10.77,7.906,6.697,14.856,13.586,14.272,13.216,7.906,6.697,0.9948,13.033,15.432,14.362,13.666,21.415,37.553
best,512,16384,128,0.55078125,14.59,11.885,13.832,12.124,13.048,11.184,8.685,6.966,17.8,16.038,17.235,15.473,8.685,6.966,0.994,13.903,16.218,15.299,14.777,21.851,44.792
best,512,16384,256,0.55078125,20.63,17.037,25.117,22.743,18.894,16.267,12.405,10.368,19.697,17.207,18.709,16.186,12.405,10.368,0.9999,19.212,21.307,19.81,19.261,30.841,82.155
best,512,16384,512,0.55078125,38.795,30.338,47.883,43.799,32.485,29.243,20.609,18.651,35.578,31.388,33.484,29.65,20.609,18.651,1.0116,35.988,40.418,34.162,34.627,53.712,143.275
best,512,16384,1024,0.55078125,60.868,48.94,83.444,75.444,54.311,49.278,33.534,30.923,60.814,53.032,56.667,50.042,33.534,30.923,0.9954,55.205,61.919,55.144,64.251,87.78,264.152
best,512,16384,2048,0.55078125,101.841,95.653,160.734,155.906,101.908,99.883,61.729,60.889,114.816,112.689,106.807,103.639,61.729,60.889,0.9966,92.504,104.029,97.367,112.581,165.377,522.77
best,512,32768,1,0.55078125,15.185,13.381,20.121,19.255,16.045,14.955,11.358,8.905,11.256,10.509,10.942,10.318,11.358,8.905,1.0032,13.402,14.815,13.833,15.003,27.789,36.788
best,512,32768,2,0.55078125,15.385,13.394,20.385,19.309,15.998,14.99,11.19,8.939,11.318,10.546,11.046,10.34,11.19,8.939,1.0039,13.621,14.971,13.346,15.441,27.888,37.899
best,512,32768,4,0.55078125,15.635,13.384,20.496,19.454,15.966,14.999,11.155,8.917,11.737,10.98,11.434,10.776,11.155,8.917,0.965,13.917,15.286,13.939,15.441,28.568,37.711
best,512,32768,8,0.55078125,15.632,13.417,20.593,19.424,16.065,15.053,11.283,8.96,11.905,11.026,11.592,10.819,11.283,8.96,0.9659,13.738,15.215,13.907,15.826,28.321,38.024
best,512,32768,16,0.55078125,15.781,13.64,20.694,19.471,16.353,15.365,11.443,9.281,14.385,13.396,14.026,13.062,11.443,9.281,0.9905,13.769,15.349,13.797,15.88,28.435,37.487
best,512,32768,32,0.55078125,15.984,13.723,21.219,19.7,16.694,15.451,11.797,9.364,15.891,14.751,15.437,14.379,11.797,9.364,0.9952,14.07,15.574,14.172,15.847,28.469,43.818
best,512,32768,64,0.55078125,16.505,13.867,19.665,18.179,17.12,15.583,12.182,9.451,17.278,15.82,16.908,15.309,12.182,9.451,1.0101,14.52,15.882,14.528,16.506,28.501,61.35
best,512,32768,128,0.55078125,17.677,14.23,20.816,18.381,18.048,16.071,13.158,9.73,22.019,19.1,21.442,18.734,13.158,9.73,0.999,15.524,16.77,15.667,17.72,29.648,49.736
best,512,32768,256,0.55078125,26.645,20.64,39.124,35.135,27.278,24.56,18.107,15.533,28.529,23.975,27.392,23.056,18.107,15.533,0.9935,24.396,26.797,22.358,25.347,40.787,91.433
best,512,32768,512,0.55078125,51.18,38.476,76.866,68.562,48.303,44.784,34.216,28.119,52.436,44.179,50.049,42.471,34.216,28.119,0.9811,49.024,54.518,42.671,48.936,75.128,164.627
best,512,32768,1024,0.55078125,79.029,69.755,134.61,126.667,80.681,78.955,58.551,51.874,88.349,84.138,83.138,78.771,58.551,51.874,1.0009,73.242,81.239,65.917,81.319,114.325,288.133
best,512,32768,2048,0.55078125,131.498,123.608,257.181,250.14,152.078,150.442,103.034,96.462,165.753,161.617,154.662,150.415,103.034,96.462,0.9983,120.177,133.502,108.623,141.853,213.089,573.413
best,512,65536,1,0.55078125,28.475,26.548,20.008,19.085,25.485,24.564,9.107,7.831,12.445,11.442,12.342,11.225,9.107,7.831,0.9875,12.886,14.208,14.609,20.932,43.312,39.121
best,512,65536,2,0.55078125,28.328,26.597,20.04,19.183,25.51,24.647,9.085,7.865,12.521,11.482,12.386,11.231,9.085,7.865,1.0057,13.274,14.42,14.552,21.187,43.352,39.711
best,512,65536,4,0.55078125,28.46,26.631,20.195,19.188,25.36,24.668,9.477,8.348,12.989,11.901,12.851,11.656,9.477,8.348,0.9943,13.515,14.436,14.385,21.09,43.041,39.309
best,512,65536,8,0.55078125,28.801,26.83,20.41,19.22,25.556,24.703,9.587,8.395,13.12,11.942,13.001,11.687,9.587,8.395,0.9961,13.768,14.859,14.592,21.542,43.674,39.386
best,512,65536,16,0.55078125,29.062,27.051,20.928,19.497,25.789,25.019,17.08,13.396,16.507,15.193,15.939,14.578,17.08,13.396,0.998,14.012,15.133,15.091,21.919,43.594,39.676
best,512,65536,32,0.55078125,29.542,27.176,24.696,22.999,26.113,25.118,17.417,13.508,17.837,16.339,17.438,15.906,17.417,13.508,1.0016,14.973,16.056,16.354,24.388,43.967,46.964
best,512,65536,64,0.55078125,30.876,27.44,32.061,29.588,26.581,25.282,18.193,13.681,21.281,18.512,20.811,18.016,18.193,13.681,0.9945,17.373,18.963,17.776,26.298,44.904,67.464
best,512,65536,128,0.55078125,33.42,28.354,60.365,56.943,27.841,25.792,19.862,14.013,30.429,25.401,30.051,25.181,19.862,14.013,1.0033,18.557,20.082,20.234,33.358,46.12,59.653
best,512,65536,256,0.55078125,55.823,42.209,117.117,111.556,43.84,40.686,29.201,23.039,46.195,34.702,45.401,34.175,29.201,23.039,0.9888,37.729,42.76,33.683,51.008,60.914,110.263
best,512,65536,512,0.55078125,176.1,159.79,202.499,199.14,79.59,76.75,54.408,45.348,83.122,74.731,79.738,71.681,54.408,45.348,1.0035,80.998,88.755,76.333,96.925,117.15,185.622
best,512,65536,1024,0.55078125,287.432,281.137,399.599,396.39,133.042,131.049,90.733,79.918,136.626,128.054,128.406,119.943,90.733,79.918,0.9947,124.522,133.833,115.191,163.404,180.165,335.84
best,512,65536,2048,0.55078125,502.826,513.882,793.43,790.115,253.653,251.12,159.641,148.754,253.711,245.012,236.364,227.837,159.641,148.754,0.9943,208.403,228.373,186.375,285.027,327.083,665.914
best,512,131072,1,0.55078125,25.907,23.292,19.75,18.982,43.366,42.719,10.659,9.074,14.448,12.775,14.261,12.668,10.659,9.074,0.9836,14.625,15.165,15.703,18.094,73.346,42.859
best,512,131072,2,0.55078125,25.67,23.238,19.968,19.014,43.239,42.707,10.629,9.105,14.632,12.834,14.597,12.717,10.629,9.105,1.0065,14.605,15.202,15.508,18.192,71.859,42.678
best,512,131072,4,0.55078125,25.936,23.286,20.408,19.405,43.217,42.755,11.157,9.52,15.091,13.286,15.025,13.131,11.157,9.52,0.9844,15.36,15.492,15.683,18.49,73.069,42.992
best,512,131072,8,0.55078125,25.974,23.35,20.816,19.239,43.297,42.823,11.437,9.631,15.344,13.341,15.321,13.213,11.437,9.631,0.9901,15.67,15.435,16.032,18.718,71.844,42.747
best,512,131072,16,0.55078125,26.526,23.581,24.265,22.539,43.588,43.128,13.814,12.553,20.0,17.405,19.742,17.563,13.814,12.553,0.9934,16.028,17.025,16.745,19.634,72.861,43.365
best,512,131072,32,0.55078125,27.179,23.719,31.403,29.004,43.972,43.267,36.699,29.559,21.716,18.749,21.275,18.442,23.176,19.533,0.998,16.997,18.261,20.381,23.286,72.388,51.414
best,512,131072,64,0.55078125,29.435,24.18,59.495,56.058,44.601,43.464,32.308,23.932,27.857,23.111,27.92,22.962,38.198,29.427,1.0031,23.182,33.329,23.009,26.64,73.421,74.972
best,512,131072,128,0.55078125,38.483,25.857,103.669,97.086,47.8,43.963,38.304,24.237,45.344,33.735,45.491,34.204,44.224,30.505,0.9966,26.018,38.048,32.149,38.364,80.129,79.689
best,512,131072,256,0.55078125,88.482,77.377,202.286,198.141,75.893,72.861,60.126,50.385,81.753,70.707,79.036,68.532,66.743,56.309,0.9957,70.814,75.093,64.187,83.917,110.484,154.421
best,512,131072,512,0.55078125,179.689,156.164,363.796,359.677,139.72,136.662,104.89,94.503,142.319,132.279,135.667,125.276,110.255,99.921,1.0015,138.516,143.493,133.67,151.002,189.565,253.429
best,512,131072,1024,0.55078125,286.578,271.883,689.935,685.468,234.852,231.487,191.052,179.912,249.898,240.219,233.708,223.13,191.052,179.912,1.0006,212.086,220.283,203.643,276.887,299.909,450.993
best,512,131072,2048,0.55078125,521.679,512.849,1375.095,1371.575,452.734,449.75,343.159,331.958,477.548,467.764,446.971,436.239,343.159,331.958,0.9987,378.581,392.556,353.922,520.609,550.284,869.961
best,512,262144,1,0.55078125,37.411,33.79,19.71,19.036,77.999,78.025,14.547,12.292,19.254,16.662,19.468,16.644,14.547,12.292,0.9969,17.553,15.97,18.729,20.034,128.651,47.243
best,512,262144,2,0.55078125,37.329,33.82,19.934,18.923,77.946,78.158,14.899,12.286,19.459,16.705,19.662,16.704,14.899,12.286,0.9975,17.922,16.637,18.977,20.175,129.714,47.86
best,512,262144,4,0.55078125,37.632,33.838,20.961,19.488,77.871,78.125,15.414,12.676,20.027,17.122,20.177,17.108,15.414,12.676,0.9928,18.184,16.669,19.065,20.494,129.453,47.763
best,512,262144,8,0.55078125,37.673,33.915,24.253,22.392,77.954,78.196,15.752,12.859,20.357,17.216,20.566,17.19,15.752,12.859,0.9981,18.49,16.885,19.27,20.875,129.554,48.343
best,512,262144,16,0.55078125,38.5,34.195,31.292,28.892,78.245,78.585,18.9,18.114,27.508,24.169,27.662,24.006,18.9,18.114,0.9935,19.037,19.494,20.693,22.351,130.478,50.149
best,512,262144,32,0.55078125,39.683,34.434,59.076,55.749,78.561,78.772,53.689,43.738,30.052,25.8,30.11,25.422,32.456,26.93,0.9992,20.291,20.493,27.471,30.118,129.596,60.926
best,512,262144,64,0.55078125,49.558,35.022,115.519,109.199,80.098,78.94,88.602,71.627,47.7,36.812,47.699,36.705,49.75,40.426,0.9898,35.767,36.597,36.005,39.109,140.436,93.676
best,512,262144,128,0.55078125,82.135,71.076,193.681,187.733,84.957,80.308,80.975,70.909,85.852,75.887,86.367,76.452,87.218,76.466,0.9999,39.671,40.571,61.91,82.071,173.748,130.155
best,512,262144,256,0.55078125,151.686,137.169,341.126,335.596,135.603,132.128,103.922,90.79,149.67,139.012,147.56,137.8,110.253,96.897,0.9992,118.959,121.508,109.676,152.31,190.037,226.386
best,512,262144,512,0.55078125,312.208,296.949,674.3,669.065,254.247,249.371,191.72,176.395,273.646,263.281,265.954,254.239,197.521,182.097,1.0134,244.891,244.391,233.823,275.015,333.518,380.472
best,512,262144,1024,0.55078125,529.112,513.258,1333.918,1328.883,430.299,424.77,364.978,349.847,477.99,466.669,462.108,450.038,364.978,349.847,1.0005,388.796,394.459,371.467,520.635,557.977,679.723
best,512,262144,2048,0.55078125,963.133,943.512,2642.574,2637.409,835.37,830.227,657.945,637.733,917.417,906.581,881.704,869.754,657.945,637.733,1.0024,680.626,690.667,653.4,974.028,975.195,1314.327
best,1024,4096,1,0.5498046875,10.265,8.861,6.485,5.638,7.806,6.449,5.066,3.982,7.211,6.664,6.873,6.325,5.066,3.982,0.9775,10.598,11.233,12.242,10.186,15.348,36.347
best,1024,4096,2,0.5498046875,10.149,8.867,6.473,5.652,7.723,6.442,5.048,3.981,7.269,6.636,6.869,6.323,5.048,3.981,1.0066,10.35,11.076,12.282,10.354,15.46,36.208
best,1024,4096,4,0.5498046875,10.136,8.858,6.445,5.646,7.675,6.447,5.029,3.971,7.296,6.696,6.925,6.351,5.029,3.971,0.9939,10.456,10.722,11.979,10.312,15.363,35.528
best,1024,4096,8,0.5498046875,10.12,8.876,6.518,5.66,7.643,6.454,5.021,3.979,7.569,7.041,7.218,6.714,5.021,3.979,0.9955,10.439,10.868,12.099,10.003,14.972,34.952
best,1024,4096,16,0.5498046875,10.198,9.137,6.693,6.042,7.685,6.819,5.011,4.355,7.67,7.11,7.275,6.76,5.011,4.355,1.0039,10.554,10.909,12.269,10.089,15.063,35.027
best,1024,4096,32,0.5498046875,10.31,9.218,6.789,6.068,7.728,6.858,5.043,4.389,7.797,7.19,7.411,6.808,5.043,4.389,1.0059,10.6,11.15,12.263,10.199,15.315,35.221
best,1024,4096,64,0.5498046875,10.483,9.307,6.963,6.121,7.891,6.907,5.222,4.428,7.925,7.244,7.531,6.857,5.222,4.428,1.0071,10.712,11.39,12.411,10.544,15.51,35.756
best,1024,4096,128,0.5498046875,10.854,9.461,7.561,6.515,8.205,7.01,5.493,4.546,8.224,7.372,7.822,6.966,5.493,4.546,0.9985,11.079,11.72,12.837,10.935,15.925,42.642
best,1024,4096,256,0.5498046875,13.237,11.54,13.224,11.633,10.838,9.407,7.171,6.252,11.496,10.555,10.885,9.954,7.171,6.252,1.0013,12.282,12.731,15.641,12.723,23.282,77.327
best,1024,4096,512,0.5498046875,23.595,21.01,24.641,21.774,19.355,16.98,12.318,10.815,20.888,19.343,19.36,18.026,12.318,10.815,0.9933,22.594,23.166,27.325,23.46,40.98,137.894
best,1024,4096,1024,0.5498046875,36.571,33.36,41.303,37.109,31.776,28.525,19.685,18.276,34.716,33.023,31.956,30.254,19.685,18.276,0.9977,34.96,35.993,42.306,42.418,67.944,254.109
best,1024,4096,2048,0.5498046875,65.014,60.756,79.711,72.674,59.022,53.079,36.119,34.242,65.041,62.43,59.588,57.121,36.119,34.242,0.9973,59.389,61.324,76.288,76.207,129.545,499.134
best,1024,8192,1,0.5498046875,14.037,12.56,8.17,7.461,8.813,7.448,5.83,4.667,11.625,10.879,11.27,10.543,5.83,4.667,0.9862,11.248,12.207,15.211,14.089,17.154,36.032
best,1024,8192,2,0.5498046875,13.976,12.517,8.194,7.458,8.736,7.449,5.793,4.683,11.707,10.954,11.313,10.609,5.793,4.683,0.9901,11.228,11.878,15.006,14.379,17.283,36.004
best,1024,8192,4,0.5498046875,13.992,12.545,8.201,7.466,8.694,7.455,5.776,4.682,12.035,11.414,11.678,11.074,5.776,4.682,0.9871,11.298,12.043,15.192,14.099,17.215,35.715
best,1024,8192,8,0.5498046875,14.014,12.551,8.21,7.467,8.726,7.474,5.779,4.691,12.179,11.448,11.789,11.112,5.779,4.691,0.988,11.299,12.122,15.264,14.068,17.353,36.085
best,1024,8192,16,0.5498046875,14.737,14.562,8.571,8.461,8.949,8.733,5.985,5.764,15.414,15.208,14.787,14.045,5.985,5.764,0.961,11.85,12.76,15.972,14.774,18.315,38.155
best,1024,8192,32,0.5498046875,14.377,12.857,8.544,7.865,8.878,7.867,5.713,5.083,15.869,15.335,15.349,14.861,5.713,5.083,0.9981,11.536,12.329,15.595,14.321,17.694,36.793
best,1024,8192,64,0.5498046875,14.466,12.978,8.757,7.918,9.112,7.921,5.99,5.117,15.614,14.673,14.773,13.926,5.99,5.117,1.0022,11.705,12.436,15.762,14.356,17.757,36.519
best,1024,8192,128,0.5498046875,15.11,13.175,9.357,8.052,9.688,8.169,6.475,5.258,15.112,14.104,14.597,13.645,6.475,5.258,1.0055,12.322,13.209,16.343,15.129,18.186,43.594
best,1024,8192,256,0.5498046875,20.206,17.838,16.571,14.687,13.561,11.491,8.795,7.622,15.726,14.19,14.469,12.937,8.795,7.622,1.0034,15.667,16.298,20.014,19.531,26.185,80.172
best,1024,8192,512,0.5498046875,35.558,32.204,30.598,27.87,23.28,20.843,14.736,13.311,28.31,25.983,25.811,23.57,14.736,13.311,0.9935,27.691,29.307,35.837,35.696,46.169,142.724
best,1024,8192,1024,0.5498046875,55.524,51.556,51.871,47.674,38.064,34.477,24.27,22.362,47.516,43.562,43.273,39.62,24.27,22.362,0.9958,43.664,45.81,55.053,61.513,74.92,260.232
best,1024,8192,2048,0.5498046875,102.164,97.497,100.725,93.488,71.35,65.33,44.276,42.1,89.625,84.926,81.297,74.829,44.276,42.1,0.9911,74.12,78.685,100.372,115.929,143.627,517.471
best,1024,16384,1,0.5498046875,18.134,16.484,12.203,11.373,11.701,10.364,7.632,6.363,11.816,10.732,11.523,10.454,7.632,6.363,0.9901,12.473,13.87,13.946,18.328,21.352,37.72
best,1024,16384,2,0.5498046875,17.96,16.451,12.251,11.402,11.674,10.414,7.606,6.378,11.874,10.751,11.605,10.495,7.606,6.378,0.9864,12.422,13.924,14.028,17.902,21.036,37.502
best,1024,16384,4,0.5498046875,18.049,16.47,12.286,11.421,11.59,10.4,7.573,6.378,12.275,11.212,11.986,10.943,7.573,6.378,0.9904,12.392,13.883,13.806,18.132,21.282,37.863
best,1024,16384,8,0.5498046875,18.219,16.47,12.766,12.514,11.976,11.538,8.006,7.462,12.608,12.467,12.035,10.984,8.006,7.462,0.9814,12.494,14.133,14.169,18.182,21.452,38.006
best,1024,16384,16,0.5498046875,18.233,16.702,12.499,11.775,11.784,10.79,7.571,6.726,14.577,13.662,14.11,13.158,7.571,6.726,0.9929,12.661,14.225,14.228,18.398,21.436,37.97
best,1024,16384,32,0.5498046875,18.496,16.777,12.612,11.809,12.131,11.88,7.715,7.49,15.505,14.516,15.011,14.029,7.715,7.49,0.9905,12.748,14.449,14.442,18.494,21.941,37.467
best,1024,16384,64,0.5498046875,18.881,16.916,13.043,11.897,12.465,11.008,8.048,6.861,14.635,13.586,14.081,13.046,8.048,6.861,0.9987,13.228,14.778,14.896,18.943,22.109,39.139
best,1024,16384,128,0.5498046875,23.299,22.558,13.913,12.059,13.408,11.443,8.944,7.13,17.523,15.618,16.859,14.811,8.944,7.13,0.8473,16.638,18.608,18.413,23.085,26.831,55.264
best,1024,16384,256,0.5498046875,29.92,26.118,24.952,22.658,19.166,16.702,12.619,10.739,19.16,16.658,17.502,14.829,12.619,10.739,1.0011,20.949,22.284,21.67,27.603,31.81,85.738
best,1024,16384,512,0.5498046875,52.615,47.082,47.343,43.586,33.017,30.105,21.193,19.311,34.846,30.444,31.208,27.169,21.193,19.311,0.9965,38.962,40.762,38.253,52.021,56.289,151.591
best,1024,16384,1024,0.5498046875,86.124,75.597,82.53,75.051,55.627,50.625,34.579,32.266,59.327,51.663,52.918,45.619,34.579,32.266,0.9819,61.897,64.487,62.938,92.036,91.247,276.71
best,1024,16384,2048,0.5498046875,152.614,157.945,161.595,156.561,104.359,102.349,64.431,63.642,111.679,109.245,98.844,95.598,64.431,63.642,0.992,103.222,110.061,106.064,165.507,171.093,548.702
best,1024,32768,1,0.5498046875,23.889,21.778,17.745,16.612,16.841,15.601,12.381,9.95,11.677,10.863,11.416,10.717,12.381,9.95,0.9873,14.194,14.272,18.531,23.807,29.948,39.868
best,1024,32768,2,0.5498046875,23.717,21.785,17.456,16.53,16.806,15.654,12.4,9.978,11.785,11.013,11.526,10.801,12.4,9.978,0.9958,14.065,14.385,18.304,23.741,29.816,40.916
best,1024,32768,4,0.5498046875,23.781,21.766,19.71,18.779,16.758,15.64,12.25,9.967,12.163,11.464,11.912,11.231,12.25,9.967,0.993,14.218,14.347,18.406,23.743,29.865,40.772
best,1024,32768,8,0.5498046875,23.801,21.828,20.289,19.424,16.785,15.722,12.325,10.011,12.293,11.491,12.014,11.27,12.325,10.011,0.9922,14.094,14.522,18.485,23.796,29.87,40.528
best,1024,32768,16,0.5498046875,24.083,22.044,20.75,19.707,16.881,16.011,12.454,10.32,14.904,13.981,14.507,13.613,12.454,10.32,0.9938,14.453,14.818,18.82,23.98,30.021,40.895
best,1024,32768,32,0.5498046875,24.411,22.144,21.456,20.052,17.294,16.09,12.897,10.388,16.416,15.369,15.843,14.893,12.897,10.388,1.0005,14.698,15.15,19.181,24.541,30.391,47.61
best,1024,32768,64,0.5498046875,25.217,22.279,20.381,18.632,17.894,16.242,13.507,10.49,18.928,16.998,18.4,16.36,13.507,10.49,0.9933,15.517,15.806,19.792,25.13,31.001,65.956
best,1024,32768,128,0.5498046875,26.157,22.587,21.275,18.85,18.65,16.708,14.243,10.776,25.926,23.152,24.934,22.208,14.243,10.776,1.0046,16.479,16.876,20.731,26.225,31.347,52.728
best,1024,32768,256,0.5498046875,38.456,35.554,39.91,36.107,28.361,25.748,20.217,17.765,37.409,32.631,35.526,31.043,20.217,17.765,0.9952,26.613,27.973,30.47,36.941,42.973,97.151
best,1024,32768,512,0.5498046875,69.158,58.586,78.537,70.337,50.457,46.969,37.9,32.34,69.538,63.416,65.431,60.739,37.9,32.34,0.9968,53.016,54.548,56.879,68.818,76.613,168.475
best,1024,32768,1024,0.5498046875,108.034,101.95,137.616,130.116,84.607,82.83,63.161,58.028,118.395,116.994,109.735,108.221,63.161,58.028,0.9981,79.109,82.333,86.631,116.986,121.982,308.243
best,1024,32768,2048,0.5498046875,191.974,186.73,263.448,256.077,160.145,158.691,114.445,109.228,225.148,223.859,208.09,206.776,114.445,109.228,0.9978,132.318,140.247,149.755,214.811,224.67,608.539
best,1024,65536,1,0.5498046875,32.443,30.552,17.505,16.58,26.606,25.509,9.482,8.073,12.784,11.738,12.659,11.456,9.482,8.073,0.9904,14.026,14.934,19.135,23.394,44.965,40.946
best,1024,65536,2,0.5498046875,32.377,30.49,19.089,18.338,26.616,25.586,9.571,8.127,12.816,11.76,12.729,11.488,9.571,8.127,0.9854,14.055,14.858,19.067,23.414,45.534,41.727
best,1024,65536,4,0.5498046875,32.502,30.492,19.798,19.007,26.504,25.584,9.654,8.573,13.216,12.184,13.166,11.89,9.654,8.573,0.9962,14.27,15.284,18.879,23.322,45.654,41.837
