uuid,model,cs,N,K,band,base_us,v1_us,ratio
flash_1024k_L02,flash,8,262127,512,32k-1M,19.637,17.176,1.1433
flash_1024k_L04,flash,8,262127,512,32k-1M,18.514,16.421,1.1274
flash_1024k_L06,flash,8,262127,512,32k-1M,18.611,16.473,1.1298
flash_1024k_L08,flash,8,262127,512,32k-1M,19.17,16.893,1.1348
flash_1024k_L10,flash,8,262127,512,32k-1M,18.568,16.498,1.1255
flash_1024k_L12,flash,8,262127,512,32k-1M,18.998,16.72,1.1363
flash_1024k_L14,flash,8,262127,512,32k-1M,18.8,16.667,1.128
flash_1024k_L16,flash,8,262127,512,32k-1M,19.451,17.094,1.1379
flash_1024k_L18,flash,8,262127,512,32k-1M,18.789,16.558,1.1347
flash_1024k_L20,flash,8,262127,512,32k-1M,20.026,17.64,1.1352
flash_1024k_L22,flash,8,262127,512,32k-1M,18.456,16.465,1.1209
flash_1024k_L24,flash,8,262127,512,32k-1M,20.326,17.507,1.161
flash_1024k_L26,flash,8,262127,512,32k-1M,19.226,16.974,1.1326
flash_1024k_L28,flash,8,262127,512,32k-1M,18.838,16.649,1.1315
flash_1024k_L30,flash,8,262127,512,32k-1M,19.302,17.051,1.132
flash_1024k_L32,flash,8,262127,512,32k-1M,22.208,18.886,1.1759
flash_1024k_L34,flash,8,262127,512,32k-1M,19.68,17.328,1.1357
flash_1024k_L36,flash,8,262127,512,32k-1M,18.434,16.36,1.1267
flash_1024k_L38,flash,8,262127,512,32k-1M,19.165,16.782,1.142
flash_1024k_L40,flash,8,262127,512,32k-1M,18.625,16.566,1.1243
flash_1024k_L42,flash,8,262127,512,32k-1M,18.653,16.504,1.1302
flash_128k_L02,flash,1,32771,512,32k-1M,12.987,11.307,1.1486
flash_128k_L04,flash,1,32771,512,32k-1M,12.403,11.146,1.1128
flash_128k_L06,flash,1,32771,512,32k-1M,12.51,11.28,1.1091
flash_128k_L08,flash,1,32771,512,32k-1M,12.355,11.061,1.117
flash_128k_L10,flash,1,32771,512,32k-1M,13.189,11.837,1.1142
flash_128k_L12,flash,1,32771,512,32k-1M,13.102,11.746,1.1155
flash_128k_L14,flash,1,32771,512,32k-1M,12.51,11.403,1.0971
flash_128k_L16,flash,1,32771,512,32k-1M,12.974,11.413,1.1368
flash_128k_L18,flash,1,32771,512,32k-1M,12.715,11.381,1.1173
flash_128k_L20,flash,1,32771,512,32k-1M,12.498,11.322,1.1039
flash_128k_L22,flash,1,32771,512,32k-1M,12.25,11.221,1.0917
flash_128k_L24,flash,1,32771,512,32k-1M,13.043,11.562,1.1281
flash_128k_L26,flash,1,32771,512,32k-1M,12.163,11.069,1.0989
flash_128k_L28,flash,1,32771,512,32k-1M,14.374,13.03,1.1031
flash_128k_L30,flash,1,32771,512,32k-1M,12.21,11.194,1.0908
flash_128k_L32,flash,1,32771,512,32k-1M,13.565,11.899,1.14
flash_128k_L34,flash,1,32771,512,32k-1M,12.299,11.072,1.1108
flash_128k_L36,flash,1,32771,512,32k-1M,14.003,12.741,1.0991
flash_128k_L38,flash,1,32771,512,32k-1M,12.344,11.253,1.097
flash_128k_L40,flash,1,32771,512,32k-1M,12.659,11.298,1.1205
flash_128k_L42,flash,1,32771,512,32k-1M,17.349,11.021,1.5742
flash_16k_L02,flash,1,4099,512,4k-32k,8.781,7.499,1.1709
flash_16k_L04,flash,1,4099,512,4k-32k,8.376,7.4,1.1319
flash_16k_L06,flash,1,4099,512,4k-32k,8.701,7.661,1.1358
flash_16k_L08,flash,1,4099,512,4k-32k,8.67,7.483,1.1586
flash_16k_L10,flash,1,4099,512,4k-32k,8.605,7.541,1.1411
flash_16k_L12,flash,1,4099,512,4k-32k,8.574,7.474,1.1473
flash_16k_L14,flash,1,4099,512,4k-32k,8.702,7.566,1.1501
flash_16k_L16,flash,1,4099,512,4k-32k,8.578,7.518,1.1409
flash_16k_L18,flash,1,4099,512,4k-32k,9.379,8.197,1.1443
flash_16k_L20,flash,1,4099,512,4k-32k,8.435,7.338,1.1496
flash_16k_L22,flash,1,4099,512,4k-32k,8.339,7.445,1.1201
flash_16k_L24,flash,1,4099,512,4k-32k,8.83,7.613,1.1599
flash_16k_L26,flash,1,4099,512,4k-32k,8.661,7.512,1.1529
flash_16k_L28,flash,1,4099,512,4k-32k,8.558,7.489,1.1427
flash_16k_L30,flash,1,4099,512,4k-32k,8.946,7.696,1.1624
flash_16k_L32,flash,1,4099,512,4k-32k,8.61,7.549,1.1405
flash_16k_L34,flash,1,4099,512,4k-32k,8.522,7.568,1.126
flash_16k_L36,flash,1,4099,512,4k-32k,9.749,8.613,1.1319
flash_16k_L38,flash,1,4099,512,4k-32k,8.768,7.747,1.1318
flash_16k_L40,flash,1,4099,512,4k-32k,8.579,7.525,1.1401
flash_16k_L42,flash,1,4099,512,4k-32k,8.342,7.44,1.1213
flash_256k_L02,flash,4,65538,512,32k-1M,14.475,12.459,1.1618
flash_256k_L04,flash,4,65538,512,32k-1M,15.733,13.443,1.1703
flash_256k_L06,flash,4,65538,512,32k-1M,13.869,12.227,1.1343
flash_256k_L08,flash,4,65538,512,32k-1M,15.686,13.421,1.1688
flash_256k_L10,flash,4,65538,512,32k-1M,14.827,13.066,1.1348
flash_256k_L12,flash,4,65538,512,32k-1M,17.186,14.422,1.1916
flash_256k_L14,flash,4,65538,512,32k-1M,15.403,13.384,1.1509
flash_256k_L16,flash,4,65538,512,32k-1M,14.299,12.594,1.1354
flash_256k_L18,flash,4,65538,512,32k-1M,13.531,12.157,1.113
flash_256k_L20,flash,4,65538,512,32k-1M,13.987,12.24,1.1427
flash_256k_L22,flash,4,65538,512,32k-1M,14.216,12.448,1.142
flash_256k_L24,flash,4,65538,512,32k-1M,19.762,18.314,1.0791
flash_256k_L26,flash,4,65538,512,32k-1M,15.238,13.301,1.1457
flash_256k_L28,flash,4,65538,512,32k-1M,16.33,13.69,1.1928
flash_256k_L30,flash,4,65538,512,32k-1M,14.923,13.125,1.137
flash_256k_L32,flash,4,65538,512,32k-1M,17.296,14.714,1.1755
flash_256k_L34,flash,4,65538,512,32k-1M,13.87,12.304,1.1273
flash_256k_L36,flash,4,65538,512,32k-1M,13.483,11.952,1.1281
flash_256k_L38,flash,4,65538,512,32k-1M,15.299,13.568,1.1276
flash_256k_L40,flash,4,65538,512,32k-1M,14.187,12.355,1.1483
flash_256k_L42,flash,4,65538,512,32k-1M,13.841,12.258,1.1292
flash_32k_L02,flash,1,8195,512,32k-1M,9.696,8.168,1.1871
flash_32k_L04,flash,1,8195,512,32k-1M,9.523,8.125,1.1721
flash_32k_L06,flash,1,8195,512,32k-1M,11.043,9.853,1.1208
flash_32k_L08,flash,1,8195,512,32k-1M,9.589,8.325,1.1518
flash_32k_L10,flash,1,8195,512,32k-1M,9.65,8.365,1.1536
